"No.","Time","Source","Destination","Protocol","Length","Info"
"14882","7.692141534","172.17.0.2","172.17.0.1","TCP","105","8443  >  55694 [PSH, ACK] Seq=68643 Ack=1654 Win=32128 Len=39 TSval=1405835173 TSecr=4266363478"
"14883","7.692246858","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=68682 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14884","7.692251667","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1654 Ack=70130 Win=179840 Len=0 TSval=4266363478 TSecr=1405835173"
"14885","7.692247026","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=70130 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14886","7.692247125","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=71578 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14887","7.692259156","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1654 Ack=73026 Win=183552 Len=0 TSval=4266363478 TSecr=1405835173"
"14888","7.692247212","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=73026 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14889","7.692247295","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=74474 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14890","7.692264216","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1654 Ack=75922 Win=184192 Len=0 TSval=4266363478 TSecr=1405835173"
"14891","7.692247385","172.17.0.2","172.17.0.1","TCP","1047","8443  >  55694 [PSH, ACK] Seq=75922 Ack=1654 Win=32128 Len=981 TSval=1405835173 TSecr=4266363478"
"14892","7.692280168","172.17.0.2","172.17.0.1","TCP","104","8443  >  55694 [PSH, ACK] Seq=76903 Ack=1654 Win=32128 Len=38 TSval=1405835173 TSecr=4266363478"
"14893","7.692287850","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1654 Ack=76941 Win=184832 Len=0 TSval=4266363478 TSecr=1405835173"
"14894","7.692320249","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=76941 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14895","7.692320381","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=78389 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14896","7.692320488","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=79837 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14897","7.692320581","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=81285 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14898","7.692320665","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=82733 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14899","7.692335728","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1654 Ack=79837 Win=184832 Len=0 TSval=4266363478 TSecr=1405835173"
"14900","7.692320756","172.17.0.2","172.17.0.1","TCP","1047","8443  >  55694 [PSH, ACK] Seq=84181 Ack=1654 Win=32128 Len=981 TSval=1405835173 TSecr=4266363478"
"14901","7.692344070","172.17.0.2","172.17.0.1","TCP","104","8443  >  55694 [PSH, ACK] Seq=85162 Ack=1654 Win=32128 Len=38 TSval=1405835173 TSecr=4266363478"
"14902","7.692350468","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1654 Ack=85200 Win=184832 Len=0 TSval=4266363478 TSecr=1405835173"
"14903","7.692366233","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=85200 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14904","7.692366375","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=86648 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14905","7.692366473","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=88096 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14906","7.692366569","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=89544 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14907","7.692366779","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=90992 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14908","7.692366873","172.17.0.2","172.17.0.1","TCP","1047","8443  >  55694 [PSH, ACK] Seq=92440 Ack=1654 Win=32128 Len=981 TSval=1405835173 TSecr=4266363478"
"14909","7.692376586","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1654 Ack=89544 Win=184832 Len=0 TSval=4266363478 TSecr=1405835173"
"14910","7.692383302","172.17.0.2","172.17.0.1","TCP","104","8443  >  55694 [PSH, ACK] Seq=93421 Ack=1654 Win=32128 Len=38 TSval=1405835173 TSecr=4266363478"
"14911","7.692389300","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1654 Ack=93459 Win=184832 Len=0 TSval=4266363478 TSecr=1405835173"
"14912","7.692396361","172.17.0.2","172.17.0.1","TCP","1514","8443  >  55694 [ACK] Seq=93459 Ack=1654 Win=32128 Len=1448 TSval=1405835173 TSecr=4266363478"
"14913","7.692396515","172.17.0.2","172.17.0.1","TCP","325","8443  >  55694 [PSH, ACK] Seq=94907 Ack=1654 Win=32128 Len=259 TSval=1405835173 TSecr=4266363478"
"14914","7.692401107","172.17.0.1","172.17.0.2","TCP","66","55694  >  8443 [ACK] Seq=1654 Ack=95166 Win=184832 Len=0 TSval=4266363478 TSecr=1405835173"
"14915","7.692509082","172.17.0.2","172.17.0.1","TCP","104","8443  >  55694 [PSH, ACK] Seq=95166 Ack=1654 Win=32128 Len=38 TSval=1405835173 TSecr=4266363478"
"14916","7.692542000","172.17.0.1","172.17.0.2","TCP","108","55694  >  8443 [PSH, ACK] Seq=1654 Ack=95204 Win=184832 Len=42 TSval=4266363478 TSecr=1405835173"
